QUEST_LV_0500_20190509_000001	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.	케도라 상단원 이네타
QUEST_LV_0500_20200724_000196	사건 현장에서 크루비나 용액을 발견했고, 몬스터로 부터 족쇄를 찾을 수 있었습니다.{nl}고원병사 모티머에게 돌아가 조사 결과를 보여주고 사건의 경위에 대해 물어보세요.	
QUEST_LV_0500_20200724_000197	유실된 물건 회수	
QUEST_LV_0500_20200724_000198	크루세이더 파견원에게 닳고 닳은 족쇄 전해주기.	
QUEST_LV_0500_20200724_000199	야영지에서의 조사를 끝냈습니다.{nl}크루세이더 파견원에게 돌아가 조사 결과를 알려주세요.	
QUEST_LV_0500_20200724_000200	조사를 지속하기 위해 크루세이더 파견원과 이야기를 나누세요.	
QUEST_LV_0500_20200724_000201	하얀 마녀의 숲에서 조사를 진행하기.	
QUEST_LV_0500_20200724_000202	크루세이더 파견원은 이 일의 배후가 있을 것임을 짐작했습니다.{nl}하얀 마녀의 숲에서 글레이시어의 흔적을 조사하세요.	
QUEST_LV_0500_20200724_000203	크루세이더 파견원에게 편지 뭉치를 전달하기.	
QUEST_LV_0500_20200724_000204	크루세이더 파견원에게 하얀 마녀의 숲에서 발견한 것들을 가져다주세요.	
QUEST_LV_0500_20200724_000205	크루세이더 마스터와 대화하기.	
QUEST_LV_0500_20200724_000206	크루세이더 마스터 조피아 엘레노라가 할말이 있는 듯 합니다.{nl}그녀와 대화하세요.	
QUEST_LV_0500_20200724_000207	크루세이더 파견원을 찾아가기.	
QUEST_LV_0500_20200724_000208	스토가스 고원의 이상 한파를 조사하고 있는 크루세이더 파견원에게 찾아가세요.	
QUEST_LV_0500_20200724_000209	누바스크 절벽에서 나타나는 이상 한파에 대해 조사하기.	
QUEST_LV_0500_20200724_000210	누바스크 절벽에서 이상 한파 현상에 대해 조사하고 결과를 크루세이더 파견원에게 들려주세요.	
QUEST_LV_0500_20200724_000211	이상 한파에 대한 조사 결과를 크루세이더 파견원에게 알려주세요.	
QUEST_LV_0500_20200907_000212	오셨습니까?{nl}협조를 부탁드리려고 계시자님을 불렀습니다.	크루세이더 마스터
QUEST_LV_0500_20200907_000213	글레이시어에 대한 조사를 진행하신 적이 있으시니, 아무래도 계시자님만큼 이 사건의 진상에 가까이 다가간 사람은 없을 거로 생각합니다.{nl}조사에 협조해 주실 수 있으십니까?	크루세이더 마스터
QUEST_LV_0500_20200907_000214	협조에 감사드립니다.{nl}계시자님께 드린 물건은 글레이시어의 옷에서 떨어져 나온 장신구입니다.{nl}글레이시어가 어떻게 이곳까지 마족으로부터 목숨을 지킬 수 있었는지 알아볼 필요가 있습니다.	크루세이더 마스터
QUEST_LV_0500_20200907_000215	그 장신구를 마족에게 보여주고 반응을 살펴봐 주십시오.	크루세이더 마스터
QUEST_LV_0500_20200907_000216	협조에 감사드립니다.{nl}반짝이는 구슬을 마족에게 보여주고 반응을 살펴봐 주십시오.	크루세이더 마스터
QUEST_LV_0500_20200907_000217	돌아오셨습니까?	크루세이더 마스터
QUEST_LV_0500_20200907_000218	마족이 겁에 질려 도망갔다고요?{nl}글레이시어가 강력한 마족인 건 사실이지만.. 그녀가 여기를 지날 때는 아직 인간이었을 때입니다.	크루세이더 마스터
QUEST_LV_0500_20200907_000219	그렇다면.. 글레이시어 이상의 다른 마족이 이 사건과 연관되어 있을 가능성이 크군요.	크루세이더 마스터
QUEST_LV_0500_20200907_000220	지난번 저희 파견원이 암벽에 있는 나무뿌리 근처에서 크루비나 용액이 묻은 수상한 조각을 봤다고 하더군요.{nl}현장 보존을 위해 건들지는 않았습니다.	크루세이더 마스터
QUEST_LV_0500_20200907_000221	제가 직접 그 조각을 조사할 테니 계시자님 께서는 수상한 조각을 찾아 조사를 준비해 주세요.	크루세이더 마스터
QUEST_LV_0500_20200907_000222	수상한 조각은 왼쪽 계단 아래로 내려가, 그대로 가시다 보면 암벽과 나무뿌리 사이에 있습니다.{nl}계시자님께서 먼저 가서 조사를 준비해주십시오.	크루세이더 마스터
QUEST_LV_0500_20200907_000223	어떻게 말씀을 드려야 할지..{nl}결론부터 말씀드리자면..	크루세이더 마스터
QUEST_LV_0500_20200907_000224	이 조각에는 오랜 시간에 걸쳐 마족의 힘이 배어있습니다.{nl}제가 마주쳤던 그 어떤 마족보다도 더욱 강한 힘이군요.{nl}어쩌면 글레이시어는..	크루세이더 마스터
QUEST_LV_0500_20200907_000225	이 힘의 주인에 비하면 글레이시어는 큰 걱정거리가 아닌 수준이라면 믿으시겠습니까?	크루세이더 마스터
QUEST_LV_0500_20200907_000226	계시자님의 협조 덕분에 조사가 빠르게 진척되고 있습니다.	크루세이더 마스터
QUEST_LV_0500_20200907_000227	번거롭게도.. 글레이시어의 배후를 증명해내기 위해서는 더 확실한 증거가 필요합니다.	크루세이더 마스터
QUEST_LV_0500_20200907_000228	지난번 글레이시어의 편지를 발견한 곳이 절벽 아래라고 하셨죠?{nl}그곳에 가서 그때 놓친 증거가 없는 지, 다시 확인해주셨으면 합니다.	크루세이더 마스터
QUEST_LV_0500_20200907_000229	하얀 마녀의 숲을 조사해주시길 바랍니다.	크루세이더 마스터
QUEST_LV_0500_20200907_000230	지령서라면 확실한 증거입니다.{nl}글레이시어의 이름까지 적혀있군요.	크루세이더 마스터
QUEST_LV_0500_20200907_000231	그렇지만 어째서 인간의 언어로 적혀있을까요?{nl}조각에서 느꼈던 힘은 마족의 힘이 분명했습니다.	크루세이더 마스터
QUEST_LV_0500_20200907_000232	우리에게 자신의 존재를 알리고 싶어 하는군요.	크루세이더 마스터
QUEST_LV_0500_20200907_000233	배후가 있다는 증거는 확실해졌습니다.{nl}계시자님께서 절벽 아래로 내려가 있는 동안, 저는 조각을 조사하기 위해 왕국에 협조를 요청했습니다.	크루세이더 마스터
QUEST_LV_0500_20200907_000234	왕국에서는 마족의 힘이라면 가장 잘 알만한 사람이 있다고 하더군요.{nl}랑다 마스터인 우올리오스 와히드에게 조각을 전해주십시오.{nl}탐탁지는 않지만.. 왕국의 명령입니다.	크루세이더 마스터
QUEST_LV_0500_20200907_000235	그럼 부탁드립니다.{nl}그 조각만 전해주신다면 계시자님께서 도와주실 일은 더 없습니다.	크루세이더 마스터
QUEST_LV_0500_20200907_000236	계시자님, 도와주셔서 감사했습니다.	크루세이더 마스터
QUEST_LV_0500_20200907_000237	글레이시어 카시밀라.{nl}글레이시어가 인간이었을 때의 이름입니다.	크루세이더 마스터
QUEST_LV_0500_20200907_000238	오셨군요.{nl}이야기는 미리 들었습니다.	랑다 마스터
QUEST_LV_0500_20200907_000239	강한 기운이군요.{nl}크루세이더 마스터님의 조치가 없었더라면, 이곳에 오는 중에 쓰러지셨어도 이상하지 않았을 겁니다.	랑다 마스터
QUEST_LV_0500_20200907_000240	이 힘의 주인은 이 땅의 명칭으로 주시자라는 이름의 존재군요.{nl}이 이상의 이야기는 나중에 기회가 된다면 말씀드리죠.{nl}이 조각은 저희가 관리하겠습니다.{nl}저 옆의 소녀에게 주시겠습니까?	랑다 마스터
QUEST_LV_0500_20200907_000241	랑다 소녀	
QUEST_LV_0500_20200907_000242	어린 아이이니 조심히 대해주세요.	랑다 마스터
QUEST_LV_0500_20200907_000243	차원 붕괴와 분열 특이점에 휘말려 아까운 목숨을 잃지 않도록 주의하세요.{nl}특히 분열 특이점에서는 행동을 주의하세요. 무척 위험한 장소입니다.	QUEST_LV_0500_20200403_000084	차원 붕괴에 휘말려 아까운 목숨을 잃지 않도록 주의하세요.{nl}준비가 충분하지 않으면 가까이 가지 않는 게 좋습니다.	세이지 파견원
QUEST_LV_0500_20200907_000244	준비가 충분하지 않으면 가까이 가지 않는 게 좋습니다. 철저한 준비를 하시고 접근하시기 바랍니다. 	세이지 파견원
QUEST_LV_0500_20200907_000245	하얀 마녀와 크루세이더(8)	
QUEST_LV_0500_20200907_000246	조사에 협조한다.	
QUEST_LV_0500_20200907_000247	협조하고 싶지 않다.	
QUEST_LV_0500_20200907_000248	하얀 마녀와 크루세이더(9)	
QUEST_LV_0500_20200907_000249	준비해 두겠다고 한다.	
QUEST_LV_0500_20200907_000250	나중에 가자고 한다.	
QUEST_LV_0500_20200907_000251	하얀 마녀와 크루세이더(10)	
QUEST_LV_0500_20200907_000252	지금은 어렵다고 한다.	
QUEST_LV_0500_20200907_000253	하얀 마녀와 크루세이더(11)	
QUEST_LV_0500_20200907_000254	전해주겠다고 말한다.	
QUEST_LV_0500_20200907_000255	도울수 없다고 한다.	
QUEST_LV_0500_20200907_000256	하얀 마녀와 크루세이더(12)	
QUEST_LV_0500_20200907_000257	더 이상 관여하고 싶지 않다고 한다.	
QUEST_LV_0500_20200907_000258	크루세이더 마스터를 찾아가기.	
QUEST_LV_0500_20200907_000259	크루세이더 마스터가 당신에게 할 말이 있는 듯 합니다.{nl}그녀를 찾아가 무슨 일인지 물어보세요.	
QUEST_LV_0500_20200907_000260	글레이시어의 소지품을 몬스터에게 사용하기.	
QUEST_LV_0500_20200907_000261	크루세이더 마스터의 요청대로, 글레시이어의 소지품을 몬스터들에게 보여주세요.	
QUEST_LV_0500_20200907_000262	조사 결과를 크루세이더 마스터에게 보고하기.	
QUEST_LV_0500_20200907_000263	글레시이서의 소지품을 몬스터에게 보여주니, 몬스터들은 허겁지겁 달아났습니다!{nl}조사 결과를 크루세이더 마스터에게 알려주세요.	
QUEST_LV_0500_20200907_000264	크루세이더 마스터가 다음 조사를 위해 협조를 요청하려고 합니다.{nl}크루세이더 마스터와 대화하세요.	
QUEST_LV_0500_20200907_000265	수상한 조각 조사 준비하기.	
QUEST_LV_0500_20200907_000266	크루세이더 마스터는 파견원으로부터 글레이시어가 흘린 것으로 추정되는 수상한 조각에 대한 보고를 받았습니다.{nl}수상한 조각이 있는 곳으로 가서 크루세이더 마스터가 조사할 수 있도록 미리 준비를 해두세요.	
QUEST_LV_0500_20200907_000267	크루세이더 마스터에게 돌아가기.	
QUEST_LV_0500_20200907_000268	크루세이더 마스터가 수상한 조각을 가져갔습니다.{nl}그녀에게 돌아가 조사 결과에 대해 들어보세요.	
QUEST_LV_0500_20200907_000269	크루세이더 마스터에게 다음 조사를 위해 필요한 건 무엇인지 물어보세요.	
QUEST_LV_0500_20200907_000270	하얀 마녀의 숲(레전드)에서 조사를 진행하기.	QUEST_LV_0500_20200724_000201	하얀 마녀의 숲에서 조사를 진행하기.	
QUEST_LV_0500_20200907_000271	크루세이더 마스터는 글레이시어의 배후에 있는 마족의 존재를 특정하기 위해서는 더 확실한 증거가 필요하다고 합니다.{nl}하얀 마녀의 숲으로 돌아가 해진 주머니를 살펴보세요.	
QUEST_LV_0500_20200907_000272	크루세이더 마스터에게 해진 주머니에서 발견한 의문의 지령서를 보여주세요.	
QUEST_LV_0500_20200907_000273	크루세이더 마스터에게 더 도와줄 일은 없는 지 물어보세요.	
QUEST_LV_0500_20200907_000274	랑다 마스터를 찾아가기.	
QUEST_LV_0500_20200907_000275	크루세이더 마스터는 조사에 협력해주어서 고맙다는 말을 전하며, 마지막으로 수상한 조각에 대해서 확실한 조사를 하기 위해 랑다 마스터를 찾아가 달라고했습니다.{nl}살러스 수녀원에 있는 랑다 마스터를 찾아가 수상한 조각에 대해 물어보세요.	
QUEST_LV_0500_20200907_000276	랑다 마스터와 대화하기.	
QUEST_LV_0500_20200907_000277	랑다 마스터에게 수상한 조각에 대해서 의견을 들으세요.	
QUEST_LV_0500_20200907_000278	수상한 조각을 랑다 소녀에게 전해주기.	
QUEST_LV_0500_20200907_000279	랑다 마스터에게 수상한 조각에 대한 설명을 들었습니다.{nl}위험한 물건이니 마족의 힘을 다루는 데 더 능숙한 랑다에게 조각을 맡겨야 합니다.{nl}조각을 랑다 소녀에게 전해주세요.	
QUEST_LV_0500_20210125_000280	비록 이사우고티 숲의 머티니스는 모두 제거했지만, 주시자가 모은 머티니스가 남아 있을 겁니다.{nl}그리고 바우바스와 바이가 역시 여전히 머티니스를 노리고 있는 상황입니다.	여신 라다
QUEST_LV_0500_20210125_000281	오르샤 일대의 머티니스가 완전히 소멸한 건 아니니,{nl}마족들은 반드시 돌아올 겁니다.	여신 라다
QUEST_LV_0500_20210125_000282	그러니 계시자.{nl}이 위태로운 평화는 머지않은 미래에 다시 오르샤를 덮칠 것입니다.	여신 라다
QUEST_LV_0500_20210125_000283	그 위협에 대비해 만반의 준비를 하세요.{nl}그대가 짊어진 운명을 교훈 삼아.	여신 라다
QUEST_LV_0500_20210125_000284	앞에 있던 숲의 이름은 이사우고티 숲이라고 합니다.	여신 라다
QUEST_LV_0500_20210125_000285	이사우고티 숲에서는 숲의 어느 부분보다 강렬한 머티니스의 기운이 느껴집니다.	여신 라다
QUEST_LV_0500_20210125_000286	분명히 그곳에 주시자의 마족들이 채굴한 머티니스가 있을 겁니다.{nl}분명히 많은 마족들이 그 곳을 장악하고 있겠죠.	여신 라다
QUEST_LV_0500_20210125_000287	주시자는 항상 계획적으로 움직였습니다.{nl}분명 머티니스의 보관에도 대비책을 마련해놨겠죠.	여신 라다
QUEST_LV_0500_20210125_000288	생각 없이 이사우고티 숲으로 향했다간 큰 위험을 감수해야 할 겁니다.	여신 라다
QUEST_LV_0500_20210125_000289	주시자의 마족들은 이미 많은 머티니스를 저장해두었을 겁니다.{nl}당신의 힘만으로는 한 번에 제거하기는 버거운 일..	여신 라다
QUEST_LV_0500_20210125_000290	제 힘으로 머티니스를 제거하는 건 머티니스에 내재된 제 힘과의 충돌이 우려됩니다.{nl}게다가 마족들이 저의 기운을 금방 알아차릴 겁니다.	여신 라다
QUEST_LV_0500_20210125_000291	머티니스를 최대한 빨리, 최대한 많이 제거하기 위해서는 충분한 위력을 지닌 인간의 폭탄이 적당하겠군요.	여신 라다
QUEST_LV_0500_20210125_000292	혹시 폭탄을 구하실 수 있겠습니까?	여신 라다
QUEST_LV_0500_20210125_000293	오르샤의 영주가 필요한 일이 있으면 도움을 요청하라고 했다고요?{nl}마침 다행입니다.{nl}오르샤에 적당한 폭탄이 있기만 바라죠.	여신 라다
QUEST_LV_0500_20210125_000294	[오르샤 영주]이네사 해먼데일	
QUEST_LV_0500_20210125_000295	오르샤의 도움이 필요하시다고요?{nl}제가 도움을 청한 입장이니, 힘이 될 수 있다면 무엇이든 드리겠습니다.	[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210125_000296	폭탄이 필요하다는 말씀이시군요.{nl}폭탄이라면, 오르샤 군수 창고에 있을 겁니다.{nl}경비병에게 가져오라 지시하겠습니다.	[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210125_000297	부디 계시자님께서 바라시는 만큼 충분한 위력이길..	[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210125_000298	조심히 다루시길 바랍니다.{nl}매우 강한 위력을 가진 마법 폭탄입니다.	[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210125_000299	자칫하면 폭발에 휘말릴 수도 있으니, 꼭 주의하셔야 합니다.{nl}반드시 안전한 곳에 몸을 피하신 후에 작동하셔야 합니다.	[오르샤 영주]이네사 해먼데일
